Author,AvgQuoteLength,StdQuoteLength,MaxQuoteLength,AvgWordCount,StdWordCount,MaxWordCount,AvgYearOfBirth,believe,best,book,come,day,die,doesn,don,drink,forget,friends,going,good,great,happens,high,hurt,indifference,just,know,let,life,like,little,live,lives,ll,love,make,makes,man,music,opposite,people,person,read,reading,really,remember,small,tales,thing,things,think,thinking,time,truth,want,way,world
Martin Luther King Jr.,45.0,0.0,45,9.0,0.0,9,1929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mother Teresa,66.5,19.091883092036785,80,14.0,4.242640687119285,17,1910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6448901001924721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7159892214135647,0.0,0.0,0.0,0.0,0.0,0.6059709229228344,0.0,0.0,0.0,0.0,0.0,0.34040741523794726,0.0,0.0,0.6448901001924721,0.0,0.0,0.6288565247538545,0.0,0.0,0.0,0.0
Pablo Neruda,319.0,0.0,319,66.0,0.0,66,1904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892633019449004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6976652619478106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6554310981477962,0.0
Ralph Waldo Emerson,168.5,140.71424945612296,268,32.0,28.284271247461902,52,1803.0,0.0,0.0,0.0,0.0,0.7751827700200798,0.0,0.0,0.0,0.0,0.4467055367151811,0.0,0.0,0.0,0.0,0.0,0.4467055367151811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephenie Meyer,34.0,0.0,34,7.0,0.0,7,1973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Martin,50.0,0.0,50,9.0,0.0,9,1945.0,0.0,0.0,0.0,0.0,0.6037284973895782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5817573649270407,0.0,0.0,0.5450415303377056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suzanne Collins,76.0,15.556349186104045,87,15.0,2.8284271247461903,17,1962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5487393566381515,0.0,0.6069328308593185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545050184032809,0.0,0.0,0.0,0.0,0.46771499154784796,0.0,0.0,0.0,0.0,0.0,0.0,0.5749066509455613,0.0,0.0,0.0,0.6958182115805804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terry Pratchett,125.0,0.0,125,24.0,0.0,24,1948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6617535012320027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7497214840240245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas A. Edison,65.0,0.0,65,12.0,0.0,12,1847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W.C. Fields,55.0,0.0,55,11.0,0.0,11,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Nicholson,34.0,0.0,34,7.0,0.0,7,1948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6789457365574888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7341884545608227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
